5.
     0.000     3.800     2.100
     5.000     6.000     3.460
    10.000     6.400     3.700
    20.000     6.500     3.750
    30.000     6.600     3.800
    40.000     6.600     3.800CONR
    40.000     7.100     4.050
    55.000     7.600     4.400MOHO
    55.000     7.900     4.550
    70.000     8.300     4.800
