5.
     0.000     6.100     3.550
     5.000     6.100     3.550
     5.000     6.200     3.600	
    10.000     6.200     3.600
    10.000     6.400     3.700
    20.000     6.400     3.700
    20.000     6.500     3.750
    30.000     6.500     3.750
    30.000     6.600     3.800
    40.000     6.600     3.800
    40.000     7.100     4.050
    50.000     7.100     4.050
    50.000     7.600     4.400
    60.000     7.600     4.400
    60.000     7.900     4.550
    70.000     7.900     4.550
    70.000     8.300     4.800
