58.256 2.620 3 'CN'  'CENTRAL NORTH SEA (CENTRAL GRABEN)'
47.528 11.270 2 '  ' 
47.386 10.427 2 '**' **BAVARIAN ALPS
51.830 11.870 3 'CS'  'CENTRAL SAXONY' 
51.860 12.440 2 '  '  CZECH REPUBLIC - GERMANY - POLAND BORDER REGION 
51.720 13.460 2 '  ' 
51.230 14.250 2 '  ' 
50.650 12.570 2 '  ' 
51.050 12.510 2 '  ' 
51.050 12.000 2 '  ' 
51.390 11.700 2 '  ' 
51.830 11.870 2 '**' **CENTRAL SAXONY
51.600 10.130 3 'CT'  'CENTRAL THURINGIA'
51.550 10.410 2 '  '  GERMANY 
51.230 10.410 2 '  ' 
51.230 10.890 2 '  ' 
51.470 10.890 2 '  ' 
51.450 11.000 2 '  ' 
51.390 11.700 2 '  ' 
51.050 12.000 2 '  ' 
50.330 11.190 2 '  ' 
50.730 10.486 2 '  ' 
50.928 10.143 2 '  ' 
51.000 10.114 2 '  ' 
51.320 9.988 2 '  ' 
51.600 10.130 2 '**' **CENTRAL THURINGIA
50.216 8.566 3 'RS'  'EASTERN RHENISH MASSIF'
50.410 7.973 2 '  ' GERMANY 
50.851 7.197 2 '  ' 
51.230 6.700 2 '  ' 
51.346 6.700 2 '  ' 
51.346 8.120 2 '  ' 
51.346 9.066 2 '  ' 
51.000 9.214 2 '  ' 
50.937 9.071 2 '  ' 
51.090 8.886 2 '  ' 
50.973 8.657 2 '  ' 
50.271 8.832 2 '  ' 
50.216 8.566 2 '**' **EASTERN RHENISH MASSIF
48.020 9.630 3 'EW'  'EASTERN WUERTTEMBERG'
48.856 8.984 2 '  ' GERMANY
49.170 9.250 2 '  ' 
49.145 10.243 2 '  ' 
48.386 10.243 2 '  ' 
48.020 9.630 2 '**' **EASTERN WUERTTEMBERG
49.582 6.248 3 'EI'  'EIFEL MOUNTAIN REGION' 
50.346 5.488 2 '  '  BELGIUM - GERMANY BORDER REGION 
50.355 5.842 2 '  ' 
50.458 6.220 2 '  ' 
50.781 6.446 2 '  ' 
50.591 6.829 2 '  ' 
50.340 7.300 2 '  ' 
49.582 6.248 2 '**' **EIFEL MOUNTAIN REGION
49.027 12.162 3 'FA'  'FRANKONIAN JURA'
48.797 11.635 2 '  ' GERMANY
48.386 10.243 2 '  ' 
49.145 10.243 2 '  ' 
49.027 12.162 2 '**' **FRANKONIAN JURA
52.180 10.620 3 'HZ'  'HARZ AREA'
51.830 11.870 2 '  ' GERMANY
51.390 11.700 2 '  ' 
51.450 11.000 2 '  ' 
51.470 10.890 2 '  ' 
51.550 10.410 2 '  ' 
51.600 10.130 2 '  ' 
51.938 10.241 2 '  ' 
51.926 10.510 2 '  ' 
52.180 10.620 2 '**' **HARZ AREA
50.700 9.900 3 'WR'  'WERRA POTASH MINING DISTRICT'
50.950 9.900 2 '  ' GERMANY
50.950 10.120 2 '  ' 
50.928 10.143 2 '  ' 
50.850 10.200 2 '  ' 
50.700 10.200 2 '  ' 
50.700 9.900 2 '**' **WERRA POTASH MINING DISTRICT
50.730 10.486 3 'HS'  'HESSIAN DEPRESSION'
50.216 9.943 2 '  ' GERMANY
50.171 9.143 2 '  ' 
50.271 8.832 2 '  ' 
50.973 8.657 2 '  ' 
51.090 8.886 2 '  ' 
50.937 9.071 2 '  ' 
51.000 9.214 2 '  ' 
51.346 9.066 2 '  ' 
51.800 9.050 2 '  ' 
51.886 9.614 2 '  ' 
51.600 10.130 2 '  ' 
51.320 9.988 2 '  ' 
51.000 10.114 2 '  ' 
50.928 10.143 2 '  ' 
50.730 10.486 2 '**' **HESSIAN DEPRESSION
49.582 6.248 3 'HU'  'HUNSRUECK' 
50.340 7.300 2 '  '  LUXEMBOURG - GERMANY BORDER REGION 
50.102 7.686 2 '  ' 
49.942 7.872 2 '  ' 
49.455 6.778 2 '  ' 
49.391 6.576 2 '  ' 
49.582 6.248 2 '**' **HUNSRUECK
51.955 6.559 3 'KR'  'KREFELD BLOCK' 
51.920 6.735 2 '  ' GERMANY - THE NETHERLANDS BORDER REGION 
51.750 6.853 2 '  ' 
51.750 6.700 2 '  ' 
51.346 6.700 2 '  ' 
51.230 6.700 2 '  ' 
51.238 6.438 2 '  ' 
51.669 6.153 2 '  ' 
51.988 5.550 2 '  ' 
51.955 6.559 2 '**' **KREFELD BLOCK
51.20 14.72 3 'KH'  ' KRUSNE HORY MTS. (ERZGEBIRGE)'
50.71 14.60 2 '  ' , CZECH REPUBLIC - GERMANY BORDER REGION 
50.01 12.84 2 '  ' 
49.91 12.66 2 '  ' 
50.65 12.57 2 '  ' 
51.23 14.25 2 '  ' 
51.20 14.72 2 '**' ** KRUSNE HORY MTS. (ERZGEBIRGE)
51.010 5.723 3 'NB'  'LOWER RHINE AREA' 
51.607 4.872 2 '  '  BELGIUM - GERMANY - THE NETHERLANDS BORDER REGION 
51.988 5.550 2 '  ' 
51.669 6.153 2 '  ' 
51.238 6.438 2 '  ' 
51.230 6.700 2 '  ' 
50.851 7.197 2 '  ' 
50.591 6.829 2 '  ' 
50.781 6.446 2 '  ' 
50.773 6.106 2 '  ' 
51.010 5.723 2 '**' **LOWER RHINE AREA
50.591 6.829 3 'MR'  'MIDDLE RHINE AREA'
50.851 7.197 2 '  ' GERMANY
50.410 7.973 2 '  ' 
50.216 8.566 2 '  ' 
49.942 7.872 2 '  ' 
50.102 7.686 2 '  ' 
50.340 7.300 2 '  ' 
50.591 6.829 2 '**' **MIDDLE RHINE AREA
51.843 7.088 3 'MU'  'MUENSTERLAND'
52.189 7.029 2 '  ' GERMANY
52.218 7.595 2 '  ' 
52.231 7.719 2 '  ' 
52.123 8.254 2 '  ' 
51.800 9.050 2 '  ' 
51.346 9.066 2 '  ' 
51.346 8.120 2 '  ' 
51.750 8.120 2 '  ' 
51.750 6.853 2 '  ' 
51.920 6.735 2 '  ' 
51.843 7.088 2 '**' **MUENSTERLAND
52.310 14.330 3 'ND'  'NORTHEASTERN GERMANY'
51.200 14.720 2 '  '  GERMANY - POLAND BORDER REGION
51.230 14.250 2 '  ' 
51.720 13.460 2 '  ' 
51.860 12.440 2 '  ' 
53.280 12.340 2 '  ' 
53.470 11.540 2 '  ' 
53.350 10.520 2 '  ' 
53.601 10.233 2 '  ' 
53.874 10.270 2 '  ' 
54.256 10.472 2 '  ' 
54.750 10.030 2 '  ' 
54.700 10.900 2 '  ' 
54.500 12.200 2 '  ' 
54.240 14.290 2 '  ' 
53.170 14.160 2 '  ' 
52.790 14.100 2 '  ' 
52.310 14.330 2 '**' **'NORTHEASTERN GERMANY
48.300 7.970 3 'NW'  'NORTHERN BLACK FOREST'
48.378 7.988 2 '  ' GERMANY
49.182 8.726 2 '  ' 
49.170 9.250 2 '  ' 
48.856 8.984 2 '  ' 
48.300 8.554 2 '  ' 
48.300 7.970 2 '**' **NORTHERN BLACK FOREST
49.182 8.726 3 'NF'  'NORTHERN FRANKONIA'
50.171 9.143 2 '  ' GERMANY
50.216 9.943 2 '  ' 
50.730 10.486 2 '  ' 
50.330 11.190 2 '  ' 
49.600 12.270 2 '  ' 
49.600 11.953 2 '  ' 
49.027 12.162 2 '  ' 
49.145 10.243 2 '  ' 
49.170 9.250 2 '  ' 
49.182 8.726 2 '**' **NORTHERN FRANKONIA
54.270 6.280 3 'NX'  'NORTHERN LOWER SAXONY AND HOLSTEIN' 
54.690 6.480 2 '  '  GERMANY - THE NETHERLANDS BORDER REGION 
54.493 6.854 2 '  ' 
54.368 7.302 2 '  ' 
54.132 7.829 2 '  ' 
54.101 8.505 2 '  ' 
54.395 8.995 2 '  ' 
54.800 9.400 2 '  ' 
54.781 9.740 2 '  ' 
54.750 10.030 2 '  ' 
54.256 10.472 2 '  ' 
53.874 10.270 2 '  ' 
53.601 10.233 2 '  ' 
53.350 10.520 2 '  ' 
53.165 10.802 2 '  ' 
52.822 10.903 2 '  ' 
52.375 10.700 2 '  ' 
52.467 10.544 2 '  ' 
52.682 9.966 2 '  ' 
52.834 9.289 2 '  ' 
52.710 9.212 2 '  ' 
52.726 8.619 2 '  ' 
52.775 8.475 2 '  ' 
52.819 8.033 2 '  ' 
53.046 7.278 2 '  ' 
52.613 6.441 2 '  ' 
53.292 6.242 2 '  ' 
53.640 6.260 2 '  ' 
54.270 6.280 2 '**' **NORTHERN LOWER SAXONY AND HOLSTEIN
55.170 7.120 3 'WD'  'NORTHWESTERN GERMANY' 
54.800 9.400 2 '  '  DENMARK - GERMANY BORDER REGION 
54.395 8.995 2 '  ' 
54.101 8.505 2 '  ' 
54.132 7.829 2 '  ' 
54.368 7.302 2 '  ' 
54.493 6.854 2 '  ' 
54.690 6.480 2 '  ' 
55.170 7.120 2 '**' **NORTHWESTERN GERMANY
48.354 6.480 3 'PS'  'PFALZ-SAAR AREA' 
49.000 6.539 2 '  '  FRANCE - GERMANY BORDER REGION
49.000 7.167 2 '  ' 
49.455 7.167 2 '  ' 
49.455 6.778 2 '  ' 
49.942 7.872 2 '  ' 
49.590 8.080 2 '  ' 
49.196 7.971 2 '  ' 
48.814 7.584 2 '  ' 
48.354 6.477 2 '**' **PFALZ-SAAR AREA
49.000 6.539 3 'SM'  'SAAR MINING DISTRICT' 
49.391 6.576 2 '  '  FRANCE - GERMANY BORDER REGION 
49.455 6.778 2 '  ' 
49.455 7.167 2 '  ' 
49.000 7.167 2 '  ' 
49.000 6.539 2 '**' **SAAR MINING DISTRICT
51.346 6.700 3 'RU'  'RUHR COAL MINING DISTRICT'
51.750 6.700 2 '  ' GERMANY
51.750 6.853 2 '  ' 
51.750 8.120 2 '  ' 
51.346 8.120 2 '  ' 
51.346 6.700 2 '**' **RUHR COAL MINING DISTRICT 
47.523 7.730 3 'SW'  'SOUTHERN BLACK FOREST' 
47.761 7.719 2 '  '  GERMANY - SWITZERLAND BORDER REGION 
48.080 7.940 2 '  ' 
48.300 7.970 2 '  ' 
48.300 8.554 2 '  ' 
47.950 8.558 2 '  ' 
47.634 8.651 2 '  ' 
47.523 7.730 2 '**' **SOUTHERN BLACK FOREST
51.550 10.410 3 'HM'  'SOUTHERN HARZ MINING DISTRICT'
51.470 10.890 2 '  ' GERMANY
51.230 10.890 2 '  ' 
51.230 10.410 2 '  ' 
51.550 10.410 2 '**' **SOUTHERN HARZ MINING DISTRICT
51.600 10.130 3 'SX'  'SOUTHERN LOWER SAXONY'
51.886 9.614 2 '  ' GERMANY
51.800 9.050 2 '  ' 
52.255 9.150 2 '  ' 
52.567 7.805 2 '  ' 
52.218 7.595 2 '  ' 
52.189 7.029 2 '  ' 
52.346 6.794 2 '  ' 
52.451 6.794 2 '  ' 
52.613 6.441 2 '  ' 
53.046 7.278 2 '  ' 
52.819 8.033 2 '  ' 
52.775 8.475 2 '  ' 
52.726 8.619 2 '  ' 
52.710 9.212 2 '  ' 
52.834 9.289 2 '  ' 
52.682 9.966 2 '  ' 
52.467 10.544 2 '  ' 
52.375 10.700 2 '  ' 
52.180 10.620 2 '  ' 
51.926 10.510 2 '  ' 
51.938 10.241 2 '  ' 
51.600 10.130 2 '**' **SOUTHERN LOWER SAXONY
47.950 8.558 3 'SA'  'SWABIAN JURA'
48.300 8.554 2 '  ' GERMANY
48.856 8.984 2 '  ' 
48.020 9.630 2 '  ' 
47.915 9.067 2 '  ' 
47.825 9.067 2 '  ' 
47.950 8.558 2 '**' **SWABIAN JURA
51.800 9.050 3 'TW'  'TEUTOBURGER WALD'
52.123 8.254 2 '  ' GERMANY
52.231 7.719 2 '  ' 
52.218 7.595 2 '  ' 
52.567 7.805 2 '  ' 
52.255 9.150 2 '  ' 
51.800 9.050 2 '**' **TEUTOBURGER WALD
47.380 7.370 3 'OR'  'UPPER RHINE GRABEN' 
47.668 6.803 2 '  '  FRANCE - GERMANY - SWITZERLAND BORDER REGION 
47.900 7.181 2 '  ' 
48.487 7.350 2 '  ' 
48.814 7.584 2 '  ' 
49.196 7.971 2 '  ' 
49.590 8.080 2 '  ' 
49.942 7.872 2 '  ' 
50.216 8.566 2 '  ' 
50.271 8.832 2 '  ' 
50.171 9.143 2 '  ' 
49.182 8.726 2 '  ' 
48.378 7.988 2 '  ' 
48.300 7.970 2 '  ' 
48.080 7.940 2 '  ' 
47.761 7.719 2 '  ' 
47.523 7.730 2 '  ' 
47.332 7.730 2 '  ' 
47.380 7.370 2 '**' **UPPER RHINE GRABEN
48.354 6.477 3 'VO'  'VOSGES MOUNTAIN REGION' 
48.814 7.584 2 '  ' FRANCE 
48.487 7.350 2 '  ' 
47.900 7.181 2 '  ' 
47.668 6.803 2 '  ' 
47.668 6.186 2 '  ' 
48.354 6.477 2 '**' **VOSGES MOUNTAIN REGION    END REGIONS OF GERMANY 
47.386 10.427 3 'WY'  'WESTERN TYROL'
47.528 11.270 2 '  ' AUSTRIA
47.130 11.270 2 '  ' 
46.750 11.270 2 '  ' 
46.680 10.650 2 '  ' 
46.900 10.650 2 '  ' 
46.950 10.400 2 '  ' 
47.100 10.350 2 '  ' 
47.386 10.427 2 '**' **WESTERN TYROL
47.528 11.270 3 'NY'  'NORTHEASTERN TYROL'
47.670 12.160 2 '  ' AUSTRIA
47.230 12.160 2 '  ' 
47.130 11.270 2 '  ' 
47.528 11.270 2 '**' **NORTHEASTERN TYROL
47.130 11.270 3 'SY'  'SOUTHERN TYROL'
47.230 12.160 2 '  ' AUSTRIA - ITALY BORDER REGION
47.070 12.160 2 '  ' 
46.950 12.160 2 '  ' 
46.750 11.270 2 '  ' 
47.130 11.270 2 '**' **SOUTHERN TYROL
47.0700 12.1600 3 'SZ'  'SALZBURG'
47.2300 12.1600 2 '  ' AUSTRIA - GERMANY BORDER REGION 
47.6700 12.1600 2 '  ' 
47.6410 13.1110 2 '  ' 
47.9810 13.1520 2 '  ' 
48.0130 14.0000 2 '  ' 
47.0700 14.0000 2 '  ' 
47.0700 12.1600 2 '**' **SALZBURG
47.5230 10.0360 3 'GV'  'ST. GALL - VORARLBERG'
47.3860 10.4270 2 '  ' AUSTRIA - SWITZERLAND BORDER REGION
47.1000 10.3500 2 '  ' 
46.9500 10.4000 2 '  ' 
47.0600 9.8000 2 '  ' 
46.8400 9.3000 2 '  ' 
47.2427 9.0314 2 '  ' 
47.4000 9.6620 2 '  ' 
47.5230 10.0360 2 '**' **ST. GALL - VORARLBERG
47.523 10.036 3 'BM'  'BAVARIAN MOLASSE BASIN' 
47.825 9.067 2 '  '  AUSTRIA - GERMANY BORDER REGION 
47.915 9.067 2 '  ' 
48.020 9.630 2 '  ' 
48.386 10.243 2 '  ' 
48.797 11.635 2 '  ' 
49.027 12.162 2 '  ' 
48.056 15.036 2 '  ' 
48.013 14.000 2 '  ' 
47.981 13.152 2 '  ' 
47.801 12.337 2 '  ' 
47.619 10.330 2 '  ' 
47.523 10.036 2 '**' **BAVARIAN MOLASSE BASIN
47.950 8.558 3 'BO'  'LAKE CONSTANCE AREA'
47.825 9.067 2 '  ' AUSTRIA - GERMANY - SWITZERLAND BORDER REGION 
47.523 10.036 2 '  ' 
47.400 9.662 2 '  ' 
47.634 8.651 2 '  ' 
47.950 8.558 2 '**' **LAKE CONSTANCE AREA
47.070 14.000 3 'CA'  'CENTRAL AUSTRIA'
48.013 14.000 2 '  ' AUSTRIA 
48.056 15.036 2 '  ' 
48.060 16.140 2 '  ' 
47.720 15.670 2 '  ' 
47.070 14.000 2 '**' **CENTRAL AUSTRIA
47.060 9.800 3 'EA'  'EASTERN SWISS ALPS'
46.950 10.4000 2 '  ' SWITZERLAND - AUSTRIA - ITALY BORDER REGION
46.900 10.6500 2 '  ' 
46.680 10.6500 2 '  ' 
46.480 10.6500 2 '  ' 
46.300 10.3000 2 '  ' 
46.2148 9.4486 2 '  ' 
46.6678 9.2694 2 '  ' 
46.840 9.3000 2 '  ' 
47.060 9.8000 2 '**' **EASTERN SWISS ALPS
47.070 14.000 3 'MM'  'MUR-MUERZ VALLEY'
47.720 15.670 2 '  ' AUSTRIA 
47.500 16.000 2 '  ' 
47.070 14.950 2 '  ' 
47.070 14.000 2 '**' **MUR-MUERZ VALLEY
47.070 14.950 3 'ST'  'STYRIAN BASIN'
47.500 16.000 2 '  ' AUSTRIA - HUNGARY BORDER REGION
47.720 17.090 2 '  ' 
46.680 16.050 2 '  ' 
46.680 15.180 2 '  ' 
47.070 14.950 2 '**' **STYRIAN BASIN
48.056 15.036 3 'EF'  'EAST-AUSTRIAN FORELAND'
48.940 16.100 2 '  ' AUSTRIA 
48.840 16.640 2 '  ' 
48.060 16.140 2 '  ' 
48.056 15.036 2 '**' **EAST-AUSTRIAN FORELAND
47.720 17.090 3 'VB'  'VIENNA BASIN'
48.000 17.090 2 '  ' AUSTRIA 
48.450 16.850 2 '  ' 
48.640 17.040 2 '  ' 
48.840 16.640 2 '  ' 
48.060 16.140 2 '  ' 
47.720 15.670 2 '  ' 
47.500 16.000 2 '  ' 
47.720 17.090 2 '**' **VIENNA BASIN     END REGIONS OF AUSTRIA
47.523 10.0360 3 'GV'  'ST. GALL - VORARLBERG'
47.386 10.4270 2 '  ' AUSTRIA - SWITZERLAND - GERMANY BORDER REGION
47.100 10.3500 2 '  ' 
46.950 10.4000 2 '  ' 
47.060 9.800 2 '  ' 
46.840 9.300 2 '  ' 
47.2427 9.0314 2 '  ' 
47.4000 9.662 2 '  ' 
47.5230 10.0361 2 '**' **ST. GALL - VORARLBERG
47.634 8.6510 3 'SF'  'EASTERN SWISS ALPINE FORELAND'
47.400 9.662 2 '  ' GERMANY - SWITZERLAND BORDER REGION
47.2427 9.0314 2 '  ' 
46.8623 7.5707 2 '  ' 
47.332 7.730 2 '  ' 
47.523 7.730 2 '  ' 
47.6340 8.6510 2 '**' EASTERN SWISS ALPINE FORELAND 
46.8623 7.5707 3 'CC'  'CENTRAL SWITZERLAND'
47.2427 9.0314 2 '  ' SWITZERLAND
46.840 9.300 2 '  ' 
46.500 7.900 2 '  ' 
46.8623 7.5707 2 '**' CENTRAL SWITZERLAND
46.500 7.900 3 'TC'  'TICINO'
46.840 9.300 2 '  ' SWITZERLAND - ITALY BORDER REGION
46.6678 9.2694 2 '  ' 
46.2148 9.4486 2 '  ' 
45.800 9.030 2 '  ' 
45.890 8.150 2 '  ' 
46.500 7.900 2 '**' TICINO 
46.750 6.450 3 'WF'  'WESTERN SWISS ALPINE FORELAND'
47.380 7.370 2 '  ' SWITZERLAND 
47.332 7.730 2 '  ' 
46.8623 7.5707 2 '  ' 
46.500 7.900 2 '  ' 
46.480 7.420 2 '  ' 
46.6366 6.850 2 '  ' 
46.750 6.450 2 '**' WESTERN SWISS ALPINE FORELAND
47.668 6.803 3 'WJ'  'WESTERN JURA'
47.380 7.370 2 '  ' SWITZERLAND - FRANCE BORDER REGION
46.750 6.450 2 '  ' 
46.6366 6.850 2 '  ' 
46.2022 6.552 2 '  ' 
46.0879 5.9526 2 '  ' 
46.3337 5.5431 2 '  ' 
46.8516 5.8724 2 '  ' 
47.668 6.803 2 '**' WESTERN JURA
46.480 7.420 3 'WA'  'WESTERN SWISS ALPS'
46.500 7.900 2 '  ' SWITZERLAND - FRANCE - ITALY BORDER REGION
45.890 8.150 2 '  ' 
45.750 7.2279 2 '  ' 
46.2022 6.552 2 '  ' 
46.6366 6.850 2 '  ' 
46.480 7.420 2 '**' WESTERN SWISS ALPS   END REGIONS OF SWITZERLAND
52.189 7.029 3 'CB'  'CENTRAL NETHERLANDS BASIN'
51.843 7.088 2 '  ' GERMANY - THE NETHERLANDS BORDER REGION 
51.920 6.735 2 '  ' 
51.955 6.559 2 '  ' 
51.988 5.550 2 '  ' 
52.670 4.250 2 '  ' 
53.030 4.530 2 '  ' 
52.613 6.441 2 '  ' 
52.451 6.794 2 '  ' 
52.346 6.794 2 '  ' 
52.189 7.029 2 '**' **CENTRAL NETHERLANDS BASIN
51.010 5.723 3 'NB'  'LOWER RHINE AREA / ROER VALLEY GRABEN' 
51.607 4.872 2 '  ' BELGIUM - GERMANY - THE NETHERLANDS BORDER REGION 
51.988 5.550 2 '  ' 
51.669 6.153 2 '  ' 
51.238 6.438 2 '  ' 
51.230 6.700 2 '  ' 
50.851 7.197 2 '  ' 
50.591 6.829 2 '  ' 
50.781 6.446 2 '  ' 
50.773 6.106 2 '  ' 
51.010 5.723 2 '**' **ROER VALLEY GRABEN
53.292 6.242 3 'TX'  'TEXEL-IJSSELMEER BLOCK' 
52.613 6.441 2 '  ' GERMANY - THE NETHERLANDS BORDER REGION 
53.030 4.530 2 '  ' 
53.450 4.870 2 '  ' 
53.640 6.260 2 '  ' 
53.292 6.242 2 '**' **TEXEL-IJSSELMEER BLOCK
50.616 5.468 3 'VE'  'VENN AREA' 
50.773 6.106 2 '  ' BELGIUM - GERMANY BORDER REGION 
50.781 6.446 2 '  ' 
50.458 6.220 2 '  ' 
50.355 5.842 2 '  ' 
50.346 5.488 2 '  ' 
50.616 5.468 2 '**' **VENN AREA
51.949 3.658 3 'WB'  'WEST NETHERLANDS BASIN'
52.670 4.250 2 '  ' THE NETHERLANDS
51.988 5.550 2 '  ' 
51.607 4.872 2 '  ' 
51.949 3.658 2 '**' **WEST NETHERLANDS BASIN
51.330 3.160 3 'BR'  'BRABANT MASSIF'
51.949 3.658 2 '  ' THE NETHERLANDS
51.607 4.872 2 '  ' 
51.010 5.723 2 '  ' 
50.773 6.106 2 '  ' 
50.616 5.468 2 '  ' 
50.616 5.468 2 '**' **BRABANT MASSIF   END REGIONS THE NETHERLANDS
56.100 11.000 3 'SJ'  'SJAELLAND DENMARK' 
56.400 12.300 2 '  ' DENMARK - SWEDEN BORDER REGION 
56.000 12.600 2 '  ' 
55.000 12.900 2 '  ' 
54.500 12.200 2 '  ' 
54.700 10.900 2 '  ' 
56.100 11.000 2 '**' **SJAELLAND DENMARK   END REGIONS DENMARK
54.39 16.24 3 'RP'  'SOUTHWESTERN PART OF EAST EUROPEAN PLATFORM'
55.01 17.25 2 '  ' 
54.57 23.20 2 '  ' 
52.97 24.10 2 '  ' 
51.56 23.72 2 '  ' 
50.84 24.17 2 '  ' 
50.46 24.20 2 '  ' 
52.22 21.75 2 '  ' 
53.62 18.36 2 '  ' 
54.39 16.24 2 '**' **SOUTHWESTERN PART OF EAST EUROPEAN PLATFORM
51.30 19.50 3 'TZ'  'TRANSITION ZONE EAST / WEST EUROPEAN PLATFORM'
51.10 19.50 2 '  ' 
51.10 19.10 2 '  ' 
50.27 20.09 2 '  ' 
49.84 23.07 2 '  ' 
50.46 24.20 2 '  ' 
52.22 21.75 2 '  ' 
53.62 18.36 2 '  ' 
54.39 16.24 2 '  ' 
54.24 14.29 2 '  ' 
53.17 14.16 2 '  ' 
53.12 15.12 2 '  ' 
52.76 16.72 2 '  ' 
52.03 18.00 2 '  ' 
51.30 18.88 2 '  ' 
51.30 19.50 2 '**' **TRANSITION ZONE EAST / WEST EUROPEAN PLATFORM
52.79 14.10 3 'EH'  'EASTERN PART OF WEST EUROPEAN PLATFORM'
52.31 14.33 2 '  ' 
51.20 14.72 2 '  ' 
51.10 15.32 2 '  ' 
50.52 16.83 2 '  ' 
50.16 18.13 2 '  ' 
50.15 18.30 2 '  ' 
50.30 18.60 2 '  ' 
50.40 18.80 2 '  ' 
50.40 19.15 2 '  ' 
50.25 19.40 2 '  ' 
50.00 19.40 2 '  ' 
50.27 20.09 2 '  ' 
51.10 19.10 2 '  ' 
51.10 18.80 2 '  ' 
51.30 18.80 2 '  ' 
51.30 18.88 2 '  ' 
52.03 18.00 2 '  ' 
52.76 16.72 2 '  ' 
53.12 15.12 2 '  ' 
53.17 14.16 2 '  ' 
52.79 14.10 2 '**' **EASTERN PART OF WEST EUROPEAN PLATFORM
51.20 14.72 3 'SU'  'THE SUDETEN'
51.10 15.32 2 '  ' 
50.52 16.83 2 '  ' 
50.16 18.13 2 '  ' 
49.34 18.13 2 '  ' 
49.96 16.35 2 '  ' 
50.71 14.60 2 '  ' 
51.20 14.72 2 '**' **THE SUDETEN
50.71 14.60 3 'CM'  'CENTRAL PART OF BOHEMIAN MASSIF'
50.01 12.84 2 '  ' 
49.17 14.01 2 '  ' 
49.11 15.22 2 '  ' 
48.94 16.10 2 '  ' 
48.84 16.64 2 '  ' 
48.64 17.04 2 '  ' 
49.02 17.77 2 '  ' 
49.29 18.26 2 '  ' 
49.34 18.13 2 '  ' 
49.96 16.35 2 '  ' 
50.71 14.60 2 '**' **CENTRAL PART OF BOHEMIAN MASSIF
50.010 12.84 3 'SB'  ' SOUTHERN BOHEMIAN MASSIF'
49.170 14.010 2 '  ' , CZECH REPUBLIC - GERMANY - AUSTRIA BORDER REGION 
49.110 15.220 2 '  ' 
48.940 16.100 2 '  ' 
48.056 15.036 2 '  ' 
49.027 12.162 2 '  ' 
49.600 11.953 2 '  ' 
49.600 12.270 2 '  ' 
49.910 12.660 2 '  ' 
50.010 12.840 2 '**' ** SOUTHERN BOHEMIAN MASSIF
50.330 11.190 3 'VG'  ' VOGTLAND REGION'
51.050 12.000 2 '  '  CZECH REPUBLIC - GERMANY BORDER REGION
51.050 12.510 2 '  ' 
50.650 12.570 2 '  ' 
49.910 12.660 2 '  ' 
49.600 12.270 2 '  ' 
50.330 11.190 2 '**' **VOGTLAND REGION
48.64 17.04 3 'LC'  'LITTLE AND WHITE CARPATHIANS'
48.45 16.85 2 '  ' 
48.00 17.09 2 '  ' 
48.37 17.78 2 '  ' 
48.65 18.25 2 '  ' 
49.02 17.77 2 '  ' 
48.64 17.04 2 '**' ** LITTLE AND WHITE CARPATHIANS
49.51 18.89 3 'SI'  'SILESIAN REGION'
49.57 19.57 2 '  ' 
50.00 19.40 2 '  ' 
50.00 19.05 2 '  ' 
49.95 18.75 2 '  ' 
49.80 18.30 2 '  ' 
50.15 18.30 2 '  ' 
50.16 18.13 2 '  ' 
49.34 18.13 2 '  ' 
49.29 18.26 2 '  ' 
49.51 18.89 2 '**' **SILESIAN REGION
49.57 19.57 3 'ZI'  'ZILINA REGION'
49.51 18.89 2 '  ' 
49.29 18.26 2 '  ' 
49.02 17.77 2 '  ' 
48.65 18.25 2 '  ' 
48.92 18.70 2 '  ' 
49.03 19.19 2 '  ' 
49.00 19.53 2 '  ' 
49.57 19.57 2 '**' **ZILINA REGION
50.00 19.40 3 'CF'  'CARPATHIAN FOREDEEP'
50.27 20.09 2 '  ' 
49.84 23.07 2 '  ' 
48.88 22.90 2 '  ' 
49.03 22.55 2 '  ' 
49.33 22.04 2 '  ' 
49.50 21.30 2 '  ' 
49.57 19.57 2 '  ' 
50.00 19.40 2 '**' ** CARPATHIAN FOREDEEP
49.57 19.57 3 'TM'  'TATRY MTS. AND SPIS REGION'
49.50 21.30 2 '  ' 
49.33 22.04 2 '  ' 
49.03 22.55 2 '  ' 
48.77 22.51 2 '  ' 
48.25 22.10 2 '  ' 
48.35 21.73 2 '  ' 
48.70 21.92 2 '  ' 
48.96 22.11 2 '  ' 
49.13 21.60 2 '  ' 
49.14 21.10 2 '  ' 
48.70 21.09 2 '  ' 
48.97 20.01 2 '  ' 
49.00 19.53 2 '  ' 
49.57 19.57 2 '**' ** TATRY MTS. AND SPIS REGION
48.35 21.73 3 'SV'  'SLANSKE VRCHY MTS.'
48.70 21.92 2 '  ' 
48.96 22.11 2 '  ' 
49.13 21.60 2 '  ' 
49.14 21.10 2 '  ' 
48.70 21.09 2 '  ' 
48.49 21.09 2 '  ' 
48.35 21.73 2 '**' ** SLANSKE VRCHY MTS.
48.37 17.78 3 'SL'  'CENTRAL SLOVAKIA REGION'
47.86 18.44 2 '  ' 
48.06 18.86 2 '  ' 
48.54 20.55 2 '  ' 
48.49 21.09 2 '  ' 
48.70 21.09 2 '  ' 
48.97 20.01 2 '  ' 
49.00 19.53 2 '  ' 
49.03 19.19 2 '  ' 
48.92 18.70 2 '  ' 
48.65 18.25 2 '  ' 
