58.256 2.620 3 'CN'  'CENTRAL NORTH SEA (CENTRAL GRABEN)'
62.400 5.000 3 'SM'  'SOGN-MOERE REGION NORWAY' 
63.300 7.500 2 '  ' 
62.900 9.400 2 '  ' 
62.000 7.700 2 '  ' 
60.800 7.700 2 '  ' 
60.800 4.900 2 '  ' 
62.400 5.000 2 '**' **SOGN-MOERE REGION NORWAY
62.900 9.400 3 'OH'  'OPPLAND-HEDMARK NORWAY' 
62.300 12.200 2 '  ' 
61.000 12.700 2 '  ' 
60.800 10.000 2 '  ' 
60.800 7.700 2 '  ' 
62.000 7.700 2 '  ' 
62.900 9.400 2 '**' **OPPLAND-HEDMARK NORWAY
62.300 15.500 3 'GA'  'GAEVLEBORG REGION SWEDEN' 
62.300 18.100 2 '  ' 
60.900 17.100 2 '  ' 
60.000 14.000 2 '  ' 
62.300 15.500 2 '**' **GAEVLEBORG REGION SWEDEN
63.600 17.200 3 'VS'  'VAESTERNORRLAND SWEDEN' 
63.200 21.000 2 '  ' 
62.300 18.100 2 '  ' 
62.300 15.500 2 '  ' 
63.600 17.200 2 '**' **VAESTERNORRLAND SWEDEN
62.300 12.200 3 'KP'  'KOPPARBERG REGION SWEDEN' 
62.300 15.500 2 '  ' 
60.000 14.000 2 '  ' 
59.600 11.600 2 '  ' 
61.000 12.700 2 '  ' 
62.300 12.200 2 '**' **KOPPARBERG REGION SWEDEN
64.400 14.100 3 'JL'  'JAEMTLAND SWEDEN' 
63.600 17.200 2 '  ' 
62.300 15.500 2 '  ' 
62.300 12.200 2 '  ' 
64.100 12.600 2 '  ' 
64.400 14.100 2 '**' **JAEMTLAND SWEDEN
63.200 21.000 3 'SG'  'SOUTHERN GULF OF BOTHNIA' 
62.000 20.800 2 '  ' 
60.200 20.700 2 '  ' 
59.600 23.100 2 '  ' 
59.600 20.600 2 '  ' 
60.900 17.100 2 '  ' 
62.300 18.100 2 '  ' 
63.200 21.000 2 '**' **SOUTHERN GULF OF BOTHNIA
60.200 20.700 3 'SF'  'SOUTHWESTERN FINLAND FINLAND' 
62.000 20.800 2 '  ' 
61.600 23.400 2 '  ' 
61.100 23.300 2 '  ' 
61.100 26.000 2 '  ' 
60.700 28.300 2 '  ' 
60.500 27.800 2 '  ' 
59.600 23.100 2 '  ' 
60.200 20.700 2 '**' **SOUTHWESTERN FINLAND FINLAND
61.100 26.000 3 'LS'  'LAKE SAIMAA AREA FINLAND' 
62.500 26.300 2 '  ' 
61.300 29.400 2 '  ' 
60.700 28.300 2 '  ' 
61.100 26.000 2 '**' **LAKE SAIMAA AREA FINLAND
61.600 23.400 3 'LP'  'LAKE PAIJANNE AREA FINLAND' 
63.300 24.200 2 '  ' 
62.500 26.300 2 '  ' 
61.100 26.000 2 '  ' 
61.100 23.300 2 '  ' 
61.600 23.400 2 '**' **LAKE PAIJANNE AREA FINLAND
64.000 22.300 3 'SB'  'SOUTHERN BOTHNIA FINLAND' 
63.300 24.200 2 '  ' 
61.600 23.400 2 '  ' 
62.000 20.800 2 '  ' 
63.200 21.000 2 '  ' 
64.000 22.300 2 '**' **SOUTHERN BOTHNIA FINLAND
64.000 22.300 3 'LL'  'LAKE LADOGA-BOTHNIAN BAY FINLAND' 
65.000 25.000 2 '  ' 
63.600 27.400 2 '  ' 
61.800 30.600 2 '  ' 
61.300 29.400 2 '  ' 
62.500 26.300 2 '  ' 
63.300 24.200 2 '  ' 
64.000 22.300 2 '**' **LAKE LADOGA-BOTHNIAN BAY FINLAND
63.600 27.400 3 'NK'  'NORTHERN KARELIA FINLAND' 
63.500 30.300 2 '  ' 
63.000 31.800 2 '  ' 
61.800 30.600 2 '  ' 
63.600 27.400 2 '**' **NORTHERN KARELIA FINLAND
65.000 25.000 3 'KA'  'KAINUU AREA FINLAND' 
65.200 27.600 2 '  ' 
65.000 30.000 2 '  ' 
64.300 30.700 2 '  ' 
63.500 30.300 2 '  ' 
63.600 27.400 2 '  ' 
65.000 25.000 2 '**' **KAINUU AREA FINLAND
66.200 27.600 3 'KU'  'KUUSAMO AREA FINLAND' 
67.000 29.000 2 '  ' 
65.900 30.100 2 '  ' 
65.000 30.000 2 '  ' 
65.200 27.600 2 '  ' 
66.200 27.600 2 '**' **KUUSAMO AREA FINLAND
67.200 24.800 3 'SL'  'SOUTHERN LAPLAND FINLAND' 
67.000 27.500 2 '  ' 
67.000 29.000 2 '  ' 
66.200 27.600 2 '  ' 
65.200 27.600 2 '  ' 
65.000 25.000 2 '  ' 
65.600 24.400 2 '  ' 
67.200 24.800 2 '**' **SOUTHERN LAPLAND FINLAND
68.500 25.000 3 'CL'  'CENTRAL LAPLAND FINLAND' 
67.600 27.300 2 '  ' 
67.000 27.500 2 '  ' 
67.200 24.800 2 '  ' 
68.500 25.000 2 '**' **CENTRAL LAPLAND FINLAND
67.600 27.300 3 'EL'  'EASTERN LAPLAND FINLAND' 
68.300 28.600 2 '  ' 
67.600 30.000 2 '  ' 
67.000 29.000 2 '  ' 
67.000 27.500 2 '  ' 
67.600 27.300 2 '**' **EASTERN LAPLAND FINLAND
68.500 25.000 3 'NL'  'NORTHERN LAPLAND FINLAND' 
69.700 25.900 2 '  ' 
70.100 26.700 2 '  ' 
69.800 29.000 2 '  ' 
69.000 28.900 2 '  ' 
68.500 28.700 2 '  ' 
68.300 28.600 2 '  ' 
67.600 27.300 2 '  ' 
68.500 25.000 2 '**' **NORTHERN LAPLAND FINLAND
69.000 15.000 3 'NR'  'NORDLAND REGION NORWAY' 
68.500 18.200 2 '  ' 
68.000 17.300 2 '  ' 
66.000 14.500 2 '  ' 
66.400 12.000 2 '  ' 
67.000 13.000 2 '  ' 
68.000 12.500 2 '  ' 
69.000 15.000 2 '**' **NORDLAND REGION NORWAY
63.800 9.000 3 'MN'  'MID-NORWAY NORWAY' 
66.400 12.000 2 '  ' 
66.000 14.500 2 '  ' 
65.300 14.500 2 '  ' 
64.400 14.100 2 '  ' 
64.100 12.600 2 '  ' 
62.300 12.200 2 '  ' 
63.300 7.500 2 '  ' 
63.800 9.000 2 '**' **MID-NORWAY NORWAY
62.500 0.000 3 'MB'  'MOERE BASIN' 
63.200 0.800 2 '  ' 
65.000 3.500 2 '  ' 
65.000 5.000 2 '  ' 
63.900 5.000 2 '  ' 
63.400 6.000 2 '  ' 
62.500 0.000 2 '**' **MOERE BASIN
62.100 3.500 3 'NN'  'NORTHERN NORTH SEA' 
62.400 5.000 2 '  ' 
60.800 4.900 2 '  ' 
60.600 4.200 2 '  ' 
60.500 3.000 2 '  ' 
62.100 3.500 2 '**' **NORTHERN NORTH SEA
63.400 6.000 3 'VB'  'VOERING BASIN' 
63.900 5.000 2 '  ' 
65.000 5.000 2 '  ' 
66.400 5.500 2 '  ' 
68.000 8.500 2 '  ' 
67.000 10.500 2 '  ' 
66.200 8.600 2 '  ' 
63.500 7.000 2 '  ' 
63.400 6.000 2 '**' **VOERING BASIN
65.000 3.500 3 'VP'  'VOERING PLATEAU' 
66.500 2.200 2 '  ' 
68.000 7.000 2 '  ' 
68.000 8.500 2 '  ' 
66.400 5.500 2 '  ' 
65.000 5.000 2 '  ' 
65.000 3.500 2 '**' **VOERING PLATEAU
70.300 -7.000 3 'NB'  'NORWAY BASIN' 
71.000 -4.000 2 '  ' 
66.500 2.200 2 '  ' 
65.000 3.500 2 '  ' 
63.200 0.800 2 '  ' 
62.500 0.000 2 '  ' 
62.500 -3.000 2 '  ' 
70.300 -7.000 2 '**' **NORWAY BASIN
63.500 7.000 3 'TP'  'TROENDELAG PLATFORM' 
66.200 8.600 2 '  ' 
67.000 10.500 2 '  ' 
68.000 12.500 2 '  ' 
