-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
BW-WAC472249.0N1203912.0W  884.0Blewett
BW06  424600.1N1093329.7W 2224.0Boulder Array Site 6 (Pinedale Array Site 6)
BWA   342530.0S1482506.0E  656.0Boorowa
BWD   394758.0N 753436.0W   62.5Brandywine Creek State Park
BWH   551032.9N  33917.6W  269.0Wardlaw
BWI   173954.0N 614724.0W   30.0Barbuda (Highland Field)
BWN   641018.0N1492755.2W  365.0Browne
BWNR  201743.8N 854821.0E    0.0Bhubaneshwar
BWP  C162416.8N1203607.8E    0.0Baguio Weather Station
BWPK R     0.0N      0.0E    0.0
BWR  R     0.0N      0.0E    0.0
BWZ   443202.0S1695313.0E  500.0Berwen Station
BX-                             (Alternate Abbreviation for BX-UT)
BX-UTC373348.0N1092605.0W 1707.0Blanding
BY-IOC404609.0N 922709.0W  259.0Bloomfield
BY1  C800019.6S1190236.2W 1515.0Byrd--Stanford Research Institute
BY2  C800437.7S1194052.4W 1455.0Byrd--Stanford Research Institute
BY3  C795637.4S1194300.7W 1455.0Byrd--Stanford Research Institute
BYA  C800034.5S1192849.8W 1455.0Byrd--Stanford Research Institute
BYAR  612500.0N 732400.0E   91.0Belyy Yar
BYB  R515358.0N  50545.0W    0.0Berrybush
BYBT  412806.6N 344600.0E   85.0Boyabat
BYD  U570332.4N 130946.8E  152.0Bredaryd
BYKL F                          Baykal Regional Seismological Center, Russia
BYN    91127.6N 785230.0W  120.0Bayano
BYO   485736.0N 895736.0E 2075.0Bayan-\"Olgiy
BYR  C800100.0S1193100.0W 1515.0Byrd
BYRJ  303824.0N 363000.0E 1030.0B\=a'ir
BYT   502144.0N 185452.0E  283.0Bytom
BYX   395715.1N1175504.1W 1128.0Boyer Ranch
BZ-                             (Alternate Abbreviation for BZ-WV)
BZ-WVC384754.0N 802058.0W  457.0Buckhannon
BZE  C454821.6N1105557.6W  244.0Bozeman
BZK   415748.0N 340027.0E   70.0Bozkurt
BZM  C454001.0N1110243.0W 1490.0Bozeman
BZMT  453853.4N1104748.0W 1905.0Bozeman Pass
BZN   382848.0N 694912.0E    0.0Bogizogon (Bogi-Zagon)
BZS   453700.0N 213700.0E  260.0Buzia\c s
CA-                             (Alternate Abbreviation for CA-TN)
CA-TNC360840.0N 841123.0W  305.0Caryville
CAA   261949.0S 703650.0W    2.0Chanaral
CAB  C355536.0S1482559.0E 1610.0Cabramurra
CABA   75120.9N 713007.9W 1600.0Caballo Blanco
CABF  463640.0N  60515.0E 1070.0La Chapelle aux Bois
CABS R     0.0N      0.0E    0.0to be deleted
CAC   222847.5S 690134.0W 2000.0Calama
CACB  214048.7S 464357.4W 1381.0Caconde
CACH  340701.2S 703600.0W 1300.0El Canelo
CACM C365834.3N1214537.1W   74.0Antioch
CAD  C344900.0N1162000.0W    0.0Cady Mountains
CADI R422024.7N  15028.3E 1207.0Tunel del Cadi
CADM                            (Alternate Abbreviation for ADR)
CADS R     0.0N      0.0E    0.0Cadrg
CAE   460024.0N 122612.0E  870.0Caneva
CAEH  364648.0N  65100.0E  383.0'A\"\i n El Ouahch
CAF   445533.0N  20352.0E  630.0Calviac
CAG  C181422.0N 660207.0W  350.0Caguas
CAGT  404655.2N 552309.6E  144.0Chagyl
CAH   343836.0S1491430.0E  700.0Castle Hill
CAHC  333013.2N1164154.6W 1219.0Cahuilla Valley
CAHL  580309.0N1551805.4W    0.0Cahill
CAHU  134614.4N 881239.6W 1682.0Cacacuatique
CAI    63133.6S 370816.8W  190.0Caico
CAIG  170252.1N1001602.3W   80.0El Cayaco
CAIM                            (Alternate Abbreviation for AGC)
CAIV  102810.2N 641023.2W   40.0Caig\"uire
CAL   223221.0N 881950.4E    6.0Calcutta (Alipore)
CALA  383453.0N 284207.0W  875.0Caldeira
CALB C340824.4N1183742.2W  276.0Calabasas
CALC  350612.6N1175651.6W  722.0California City
CALD R     0.0N      0.0E    0.0Caldeiras das Furnas
CALF R434510.8N  65519.2E 1240.0Calern
CALI  441428.8N  95005.4E  410.0Calice al Cornoviglio
CALM                            (Alternate Abbreviation for CVR)
CALN  434508.0N  65322.0E 1430.0Calern
CALP C135956.4N1210032.4E    0.0Taal Volcano
CALV   13119.2S 775431.8W 1180.0
CAM  C422300.0N 710700.0W    5.0Cambridge
CAM1  222352.0S 415001.5W  139.8Macae
CAM3  204343.5S 403119.9W   27.1Guarapari
CAM4  222124.6S 423355.2W 2000.0Nova Friburgo
CAMB  430255.8N 731748.0W  287.0Cambridge
CAMC C341516.2N1190200.0W  268.0Camarillo Hills
CAMM R193516.8N 962736.0W  190.0
CAMN  634355.7N1105356.1W  420.0Camsell Lake
CAN   351915.0S1485955.0E  650.0Canberra (Mount Stromlo)
CANN  320907.9S1160739.7E  135.0Canning Dam
CANR C380634.9N1181135.5W 2015.0Candelaria
CANT  403617.4N 333705.4E  900.0\c Cank\i r\i
CANV  110220.4N 684940.8W  450.0Cerro Antonio
CANY                            (Alternate Abbreviation for BUF)
CAO    94204.2N 850612.0W  263.0C\'obano
CAOM                            (Alternate Abbreviation for ARN)
CAP  C405200.0N 141500.0E  129.0Capodimonte
CAPC   83614.4N 772126.3W   50.0Capurgan\'a
CAR   103024.0N 665539.5W 1035.0Caracas (Cagigal)
CARB C505400.0N1180312.0W 2294.0Mount Cartier
CARF  424257.6N  20655.2E 1220.0Carcani\`eres
CARM    1427.6S 792947.4W 2330.0Carmen
CARS   22608.4S 785653.4W 3940.0Carshao
CART  373512.5N  10004.3W   65.0Cartagena
CAS  C413800.0N 132200.0E    0.0Casamari
CASA  344156.4S 193524.0E  187.0Carruther's Hill
CASC F                          Central American Seismic Center, Costa Rica
CASM  361536.0N  62924.0E  680.0A\"in Smara
CASR  373429.4N1183305.4W 2170.0Casa Diablo Mountain
CASW      57.6N 780022.7W 4889.0Cayambe Sur-occidental
CASY  661645.1S1103211.0E  154.0Casey
CAT   373051.0N 150550.0E   20.0Catania
CAV   461735.0N 112743.0E 1050.0Cavalese
CAVC  350308.4N1162021.0W  664.0Cave Mountain
CAVM R293852.2S1513725.5E  982.0Cavillon
CAVN  415257.7N   4506.5E  626.0Avellanes
CAVT  374043.8N 124520.2E  158.0Castelvetrano
CAW   410632.0S1750404.0E  330.0Cannon Point
CAY  C 45652.8N 521901.2W   25.0Cayenne
CAYA     417.4N 775924.7W 4143.0Cayambe
CAYR      55.1N 780023.8W 4868.0Refugio Cayambe
CAZ  C405415.0S1761334.0E    6.0Castlepoint
CAZE  425552.8N 755512.0W  301.0Cazenovia
CB01  691033.6N1051233.5W    0.0Cambridge Bay Array Site 1
CB02  691138.0N1050844.5W    0.0Cambridge Bay Array Site 2
CB03  690943.2N1050747.6W    0.0Cambridge Bay Array Site 3
CB04  690853.9N1051159.6W    0.0Cambridge Bay Array Site 4
CB05  690933.1N1051533.8W    0.0Cambridge Bay Array Site 5
CB06  691118.6N1051640.4W    0.0Cambridge Bay Array Site 6
CB07  691211.9N1051256.2W    0.0Cambridge Bay Array Site 7
CB08  691322.1N1050904.7W    0.0Cambridge Bay Array Site 8
CB09  691245.0N1050446.9W    0.0Cambridge Bay Array Site 9
CB1                             (Alternate Abbreviation for ADR)
CB10                            (Alternate Abbreviation for MHR)
CB11  690903.2N1050316.9W    0.0Cambridge Bay Array Site 11
CB12  690813.6N1050701.9W    0.0Cambridge Bay Array Site 12
CB13  690705.9N1051110.3W    0.0Cambridge Bay Array Site 13
CB14  690749.8N1051525.2W    0.0Cambridge Bay Array Site 14
CB15  690833.4N1051953.8W    0.0Cambridge Bay Array Site 15
CB16  691019.9N1052028.3W    0.0Cambridge Bay Array Site 16
CB17  691156.8N1052129.9W    0.0Cambridge Bay Array Site 17
CB18  691245.0N1051725.8W    0.0Cambridge Bay Array Site 18
CB19  691355.9N1051356.6W    0.0Cambridge Bay Array Site 19
CB2  C371127.0N1214554.6W  230.0Calero Reservoir
CB3                             (Alternate Abbreviation for COE)
CB31  690735.8N1050643.2W    0.0Cambridge Bay Array Site 31
CB32  691431.2N1053505.3W    0.0Cambridge Bay Array Site 32
CB33  692321.8N1051546.8W    0.0Cambridge Bay Array Site 33
CB34  691607.7N1044915.6W    0.0Cambridge Bay Array Site 34
CB35  691546.1N1051226.3W    0.0Cambridge Bay Array Site 35
CB4                             (Alternate Abbreviation for ARN)
CB5                             (Alternate Abbreviation for SVC)
CB6                             (Alternate Abbreviation for CVR)
CB7  C372545.1N1214433.0W  975.0Poverty Ridge
CB8                             (Alternate Abbreviation for AMC)
CB9                             (Alternate Abbreviation for MNR)
CBA  C551030.0N1624400.0W    0.0Cold Bay
CBAR  690735.8N1050643.2W   40.0Cambridge Bay Array Beam Reference Point
CBB   500158.1N1252155.1W  317.0Campbell River
CBC   365552.8N1213937.8W  219.0Chamberlain
CBD   361901.2N 893903.6W   84.0Cypress Bend
CBET  322513.8N1035924.0W 1042.0Carlsbad East Tower
CBHM C355917.5N1174500.0W  890.0Coso Basin North
CBI   270530.0N1421048.0E  153.0Chichi-shima (Chichijima)
CBIJ  270533.6N1421053.4E  150.0Chichi-shima (Chichi jima)
CBK  R485511.0N 575811.0W  380.0Corner Brook
CBKC  325358.2N1161506.0W  414.0Canebrake
CBKS  384850.4N 994414.6W  677.0Cedar Bluff
CBLG  374617.4N1185354.0W 2560.0Bald Mountain Lookout
CBM  C465557.0N 680715.0W  250.0Caribou
CBN   381216.6N 772223.5W   70.0Corbin (Fredericksburg Observatory)
CBND R363139.0N  50731.8E 1575.0Bou Andas
CBO   370642.6N1214119.8W  192.0Chesbro Reservoir
CBP   334357.0N 721348.6E    0.0Campbellpur
CBR   355636.0S1482334.0E 1537.0Cabramurra
CBRM                            (Alternate Abbreviation for BGC)
CBRU  421707.8N  21048.4E 1327.0Bruguera
CBS  C304342.0N1120936.0W  300.0Caborca
CBSM C374748.6N1213846.2W  279.0Byron Hot Springs
CBSW  474816.7N1200227.6W 1073.0Chelan Butte South
CBT   353221.8N 842514.2W  357.0Christianburg
CBTI  432315.0N1125441.4W 1754.0Cedar Butte
CBW   474825.5N1200157.6W 1160.0Chelan Butte
CBWM                            (Alternate Abbreviation for BKC)
CBX   321849.2N1163946.8W 1250.0Cerro Bola
CBY   551119.2N1624214.4W   20.0Cold Bay
CBYP  181615.6N 655121.6W  550.0Can\'ovanas
CBZ  C523303.0S1690933.0E   30.0Campbell Island
CBZL  374130.0N1214256.4W  175.0Buffer Zone
CBZM R180054.0N1022418.0W    0.0
CC-WAC474609.0N1210501.0W 1036.0Cascade Tunnel
CC1  R175624.0N1000036.0W 1000.0Presa El Caracol 1
CC2  R175934.8N1000603.6W 1000.0Presa El Caracol 2
CC3  R175918.6N 995904.8W    0.0Presa El Caracol 3
CC4   180112.0N 995400.0W 1000.0Presa El Caracol 4
CC5  R173224.0N 991640.8W    0.0Presa El Caracol 5
CCA  C180410.6N 661934.5W  269.0Coamo
CCAN  281318.0N 163618.0W 2210.0Las Ca\~nadas
CCB   643848.0N1474819.8W  219.0Clear Creek Butte
CCC  C560724.0N1221800.0W    0.0Cusp Creek
CCCC  211200.0N 774557.6W    0.0Cascorro
CCG  C771000.0N 610800.0W 1920.0Camp Century
CCH   172303.0S 660803.0W 2650.0Cochabamba
CCHE C413340.2N 812143.2W  365.0Chesterland
CCHI  363600.0S 720448.0W  500.0Chill\'an
CCHK  221210.4N1140127.5E   73.0Cheung Chau
CCI   391315.0N  90702.0E   50.0Cagliari Citta
CCIG  161655.2N 920813.2W 1500.0Comit\'an
CCK  C121200.0S 965400.0E    0.0Cocos Island (Keeling Island)
CCM   380320.4N 911440.5W  222.5Cathedral Cave
CCMO  384312.0N 902801.2W  152.0Creve Couer
CCMT C445454.0N1125225.8W 1926.0Clark Canyon Reservoir
CCMX  180312.0N1024500.0W    0.0Caleta de Campos
CCN  C365000.0N1065000.0W    0.0Cachucha Ranch
CCNE C403013.3N 975612.0W  529.0Clay Center
CCNM                            (Alternate Abbreviation for CYC)
CCO   390351.0N1210034.0W   60.0Chico
CCOK  342727.9N 970920.0W  293.0Camp Classen
CCOM                            (Alternate Abbreviation for COE)
CCP  C101952.8N1235422.2E   36.0Cebu City (Lahug)
CCR  C343500.0S 582800.0W    0.0Chacarita
CCRB  355729.5N1203305.7W    0.0Cholame Creek
CCRM R365926.3S1435819.8E  230.0Cairn Curran
CCRT  352757.6N 840314.4W  940.0Cow Camps Ridge
CCS  C324858.0N 801519.0W    9.0Cawcaw Swamp
CCT  C291000.0S 673000.0W    0.0Chilecito
CCU   374031.2N1130406.6W 1775.0Cedar City
CCUT R     0.0N      0.0E    0.0Cedar City
CCVA  363607.2N 834001.2W  571.0Cudjo Caverns
CCW   414503.0S1741301.0E  216.0Cape Campbell
CCYM  373306.0N1220527.0W   67.0Coyote Hills
CD2   305436.0N1034528.0E  628.0Chengdu (Chengtu)
CDA  C585719.2N1533146.2W  386.0Cape Douglas
CDAL  374348.0N1214342.0W  190.0Dalton Road
CDAM R182100.0N1003900.0W  300.0Ciudad Altamirano
CDB  U444037.0N 261614.0E   85.0Caldarusani
CDC   370131.2N1212901.2W  332.0Canada Road
CDCB  201411.4S 444305.5W  880.0Carmo do Cajuru
CDD   585547.4N1533835.4W  622.0Cape Douglas
CDF   482444.0N  71634.0E 1068.0Champ du Feu
CDFW  460658.2N1220251.0W  780.0Cedar Flats
CDG   343639.0N 844016.8W    0.0Carters Dam
CDH1 C365147.2N1161853.3W 1407.0Calico Hills
CDH5 C365147.2N1161853.3W 1077.0Calico Hills
CDI  C602948.0N1452936.0W   65.0Cordova
CDL   660650.4N1613924.0W   65.0Candle
CDLV R290947.2N 132638.0W   37.0Cueva de los Verdes
CDM  C 93318.6N 834556.7W 3470.0Cerro de la Muerte
CDMG F                          California Division of Mines and Geology
CDN   352716.5N1072054.5W 2591.0Cerro del Durazano
CDNM  375646.2S1452530.6E  252.0Cardinia
CDO  C341125.4N 944621.2W  230.0Cedar Creek
CDOM                            (Alternate Abbreviation for DOO)
CDP   181030.4N 663528.6W 1300.0Cerro de Punta
CDPB R181012.0N 663524.0W 1300.0Cerro de Punta
CDPJ F                          Center for Disaster Prevention, Ibaraki, Japan
CDR   434030.0N  54601.0E  368.0Cadarache
CDRL  103130.6N 834114.4W   51.0Cedral
CDRO R383745.0N 284157.1W  195.0Cedros
CDSM  375758.7N1221510.1W  109.0Don Santos Ranch
CDT  R     0.0N      0.0E    0.0Castel del Monte
CDU  C303937.0N1040040.0E  506.0Chengdu (Chengtu)
CDUM                            (Alternate Abbreviation for DUC)
CDVM  373358.8N1214048.5W  250.0Del Valle
CDWR F                          California Department of Water Resources
CDY  C642051.0N1624701.8W  561.0Cape Darby
CDZ  C410543.8S1724246.8E  780.0Cobb Dam
CE-                             (Alternate Abbreviation for CE-WA)
CE-WAC483121.0N1214114.0W  274.0Concrete
CEA   465833.0N 255704.0E 1699.0Ceahlau
CEC  C343419.2N1001933.0W  548.0Childress
CECL C413249.2N 810607.2W  362.0East Claridon
CECU C  2834.2S 775213.2W 2220.0Ecuador Network
CED  C341638.0N1172003.0W 1067.0Cedar Springs
CEDI   73914.4N 715306.0W  900.0Cerro Diablo
CEDR  383802.9N 284155.0W  100.0Cedros
CEH   355327.0N 790534.0W  152.0Chapel Hill
CEI   474106.0N 222730.6E  125.0Carei
CEIV   92435.3N 710209.2W    4.9La Ceiba
CEL  R381533.8N 155338.0E  690.0Celeste
CELP  180428.6N 663446.2W  195.0Cerrillos
CELS F                          Comision Hidroelectrica del Rio Lempa, El Salvad
CEM   390328.0N 385524.0E 1076.0\c Cemi\c skezik
CEN   313433.0S 684515.0W  900.0Cerro Negro
CENE   74550.4N 711922.1W  400.0Cerro Negro
CEO  C161400.0N 970106.0W 3000.0Cerro Encantado
CEOS   90147.6N 682036.2W  404.0Cerro El Oso
CEP   334924.6N 715432.4E 1376.0Cher\=at
CER   332142.0S 191736.0E  472.0Ceres
CERI F                          Center for Earthquake Research and Information
CERR  525114.0N 912454.0E  400.0Cher\"emushki
CERV  101840.3N 704027.1W 1730.0Cerr\'on
CES  C684200.0N1611200.0E    0.0Cherskiy
CESL  432407.0N   3155.0W  220.0Cescau
CESS  455824.2N 152747.3E  382.0Cesta pri Krskem
CEY   454419.8N 142536.0E  579.0Cerknica
CEYT  370036.0N 354452.8E  100.0Ceyhan
CF-                             (Alternate Abbreviation for CF-WS)
CF-WSC450539.0N 914559.0W  366.0Colfax
CFA   313609.5S 681359.2W  713.0Coronel Fontana
CFAA R313617.3S 681415.4W  619.0Coronel Fontana
CFC  C451103.0S1691732.0E  576.0Cairnmuir Flats
CFF   454546.0N  30609.0E  400.0Clermont Ferrand
CFI   611057.6N1474559.4W    3.0College Fiord
CFL   341958.2N1180122.8W 1586.0Chilao Flats
CFM  C481229.0N1152730.0W  898.0Cliffside
CFO  C452809.0N 761345.0W   70.0Chats Falls
CFON  414544.3N  22608.2E  972.0Fontmartina
CFR   451040.8N 280810.3E   52.0Carcaliu
CFS  C331643.3N 801009.5W   26.0Cross Fire Station
CFT   340206.6N1170639.6W  671.0Crafton Hills
CFTV  282449.8N 140500.0W  540.0Fuerteventura
CFU   383708.0N1123219.0W 2012.0Cove Fort
CFWM C361229.9N1175413.3W 1384.0Cactus Flat West
CG-                             (Alternate Abbreviation for CG-VA)
CG-VAC363735.0N 831536.0W  396.0Cumberland Gap
CGA    52700.0S1482512.0E   15.0Cape Gloucester Airport
CGA2  100058.2N 842755.8W 1200.0Cerro Gallo 2
CGAC C100151.6N 842832.4W 1300.0Cerro Gallo
CGAR  411739.8N  10802.0E  584.0Garraf
CGB  R     0.0N      0.0E    0.0Chigubo
CGC  C403124.0N1073345.0W 1925.0Craig
CGD   584500.0N1303700.0E  178.0Chagda
CGG  C164030.0N 982727.0W  400.0
CGGP    1035.4S 783621.0W 4400.0Crater GGP
CGH  C335600.0S 182900.0E   13.0Cape Good Hope
CGI  R415848.0N 874306.0W    0.0Chicago
CGL   392144.0N  91750.0E 1050.0Cagliari Serpeddi
CGLM  611827.6N1520024.0W 1082.0Capps Glacier
CGM   371900.0N 893200.0W  134.0Cape Girardeau
CGMA  362700.0N  72436.0E  336.0Guelma
CGN   441000.0N 260000.0E   78.0Calugareni
CGP    82717.4N1244139.0E   50.0Cagayan de Oro
CGPM  373843.2N1220037.2W  366.0Gavin Park
CGPV C174548.6N 643503.0W   40.0Cottongarden Point
CGRR C414043.4N 810830.6W  334.0Girdled Road
CGSM C361124.0N1173725.3W 1689.0China Gardens South
CGT   383900.0N 690900.0E    0.0Chuian-Garon
CGTN C363328.8N 834239.6W  704.0Cumberland Gap
CGTX  311936.0N1054236.0W 1305.0Campo Grande Mountain
CGV  C180758.2N 651902.4W  130.0Camp Garcia
CGVM C194500.0N 984945.6W    0.0Cerro Gordo
CGX   194210.0N1032742.0W 1600.0Ciudad Guzman
CGY  C262054.0S 262230.0E    0.0Coligny
CH-                             (Alternate Abbreviation for CH-MT)
CH-MTC583625.0N 934900.0W   38.0Churchill
CH2   331746.2N1152010.2W  347.0Chocolate Mountain
CH5   334400.0N 821930.0W  132.0Clark Hill Reservoir
CH6   335245.0N 823110.0W  146.0Clark Hill Reservoir
CHA   265000.0N 871000.0E  161.0Chatra
CHAF  474844.0N  73225.0E -285.0Chalamp\'e
CHAM R312058.9S1510816.4E  553.0Chaffey Accelerograph
CHAU  440815.0N 761027.0W  102.0Chaumont
CHAV       0.0N      0.0E    0.0Sanjurge, Chaves
CHB   641527.6N1491012.0W  196.0Church
CHC  C355410.0N 790302.0W  149.0Chapel Hill
CHCH  335600.0S 703909.0W  680.0Chadas Angostura
CHCP  333930.0N 731549.8E  579.0Chirah Chowk
CHD  R     0.0N      0.0E    0.0
CHDN  435053.0N  63227.0E  740.0Chaudanne
CHDS  390430.0N 633534.8E  190.0Ch\"arjew (Chardzhou)
CHE  C500446.0N 122234.0E  430.0Cheb (Eger)
CHET  410336.0N 701424.0E 1136.0Chet-Su
CHF  C340129.0N 823512.0W  152.0Calhoun Falls
CHFM R311935.4S1510659.0E  580.0Chaffey Dam
CHG   184849.7N 985637.7E  416.0Chiang Mai
CHH  C283812.0N1060442.0W 1430.0Chihuahua
CHI   415400.0N 873800.0W  183.0Chicago--Loyola
CHI1   12507.2S 784853.4W 4440.0Chimborazo
CHIA C555016.2N1553446.8W  250.0Chirikof Island
CHIC   43758.8N 734350.2W 3102.0Chingaza
CHIE  274337.2N 175738.5W  170.0El Hierro Las Playas
CHIF  460758.8N   2428.8W   62.0Chize
CHIG R     0.0N      0.0E    0.0Chihuahua
CHIM C 12513.0S 785141.0W 4100.0Chimborazo
CHIN  123834.8N 860137.2W  300.0Chinandega
CHIP  444752.8N 751142.0W   97.0Chipman
CHJ   355930.0N1390454.0E  219.0Chichibu (Titibu)
CHJJ  360254.0N1385942.0E  275.0Chichibu Outpost
CHK  C414720.0N 873557.0W  180.0Chicago
CHKI R262545.0N 942354.0E  950.0Chanki
CHKT  230557.2N1212155.4E   33.5Ch'eng-kung
CHKZ  534034.0N 703655.0E  123.0Chkalovo
CHL   433137.2N 782226.4E  760.0Shelek (Chilik)
CHLD  384612.0N 701800.0E 1700.0Childara (Chil'dora)
CHM   421908.4N 693610.8E  512.0Shymkent (Chimkent)
CHMS  425955.0N 744504.7E  655.0Chumysh
CHMT  465451.6N1131507.2W 2077.0Chamberlain Mountain
CHMZ  165000.0S 270400.0E 1278.0Choma
CHN    45800.0N 753700.0W 1360.0Chinchina
CHN1  231106.0N1203140.8E  360.0Nanshi
CHN2  233155.2N1202830.0E   45.0Minshiung
CHN3  230433.6N1202154.0E   50.0Shinhua
CHN4  232103.6N1203534.8E  205.0Tsaushan
CHN5  233549.2N1204040.8E  840.0Tsauling
CHN7  232902.4N1201406.0E    6.0Lioujiau
CHN8  232045.6N1201239.6E    6.0Yiju
CHO  C354330.0N1405036.0E   27.0Ch\=oshi (Chosi)
CHO1 C354412.0N1405142.0E   28.0Ch\=oshi (Chosi)
CHOC R494608.4N 183339.6E    0.0
CHOI  431845.0N1111245.9W 2103.0Coyote Hollow
CHOJ  354209.6N1405131.2E   62.0Ch\=oshi-tennodai (Ch\=oshi 2)
CHOR  453527.0N1183445.0W 1076.0Cabbage Hill
CHP  C344830.0N1190042.0W 1590.0Chuchupate
CHP1   44019.2S 802927.6W  150.0Pelados
CHP2   43657.6S 804846.8W  200.0Corcovado
CHP3   51048.0S 805743.2W  200.0Chocan
CHP4 R 43007.2S 802136.0W  220.0Algarobillo
CHP5 R 43618.0S 803003.6W  240.0Huaypira
CHP7   65642.0S 795154.0W  200.0Eten
CHP8   64554.0S 795154.0W   60.0Chiclayo
CHPM  181755.0N 983647.6W 1030.0Chiautla de Tapia
CHQ  C465323.0N 711800.0W  145.0Charlesbourg
CHR   433158.0S1723736.0E    8.0Christchurch
CHRY R411229.0N 741316.0W  183.0Calls Hollow Road
CHS  C390600.0N 704600.0E 1670.0Chusal
CHSA C613628.8N1491243.2W  112.0Colony High School
CHT   222100.0N 914900.0E   35.0Chittagong
CHTJ R344349.1N1365423.6E   40.0Chita
CHTN C363504.8N 824312.0W  558.0Church Hills
CHTO  184849.7N 985637.7E  316.0Chiang Mai
CHU  C465059.5N  93212.1E  630.0Chur (Coire)
CHUH  135630.0N 871400.0W 1720.0Cerro de Hula
CHV  C441855.0N  91925.0E    0.0Chiavari
CHVM  190514.4N 990850.4W 3213.0Chichinautzin
CHW   560200.0N1564242.0W  160.0Chowiet Island
CHX   600346.8N1410700.0W 1067.0Chaix Hills
CHY   232951.8N1202528.2E   26.9Chia-i (Chiayi)
CHZ   501733.0N 185930.0E  316.0Chorzow
CI-                             (Alternate Abbreviation for CI-VA)
CI-VAC371137.0N 822457.0W  549.0Clintwood
CIA   313354.0N  84532.4W  473.0Chichaoua
CIB  C432404.3N1125630.5W 1611.0Cedar Butte
CIC  R     0.0N      0.0E    0.0
CICH  341911.4S 702513.8W 1200.0Cipreses
CIG  F                          Centro de Investigaciones Geotecnicas, El Salvad
CIGN  413915.0N 145418.1E  350.0Sant'Elia a Pianisi
CIGS C134153.0N 891024.0W  616.0Centro de Investigaciones Geot\'ecnicas
CII  R414322.8N 141818.0E  910.0Carovilli
CIM  C143501.7N 905200.1W 2400.0Chimachoy
CIN   373600.0N 280512.0E  120.0Cine
CIO   431142.0N 130838.4E  956.0Camerino (Monte d'Aria)
CIP  C385600.0S 680800.0W    0.0Cipolletti
CIPM C175743.2N 975114.4W    0.0
CIQ  R481620.4N 704727.0W  273.0Chicoutimi
CIR   210048.0S 313448.0E  430.0Chiredzi
CIRL C373043.0N 880629.0W  119.0Cave-in Rock
CIRR  560655.0N1604453.0E 1420.0Tsirk
CIS   332424.0N1182412.0W  485.0Catalina Island
CISC  200007.2N 754615.6W    0.0Centro de Investigaciones de Energia Solar
CIT   520116.0N1133307.0E  790.0Chita
CIVM  190611.4N 985909.0W 3530.0Cilcuayo
CIW   332755.2N1183306.0W   50.0Santa Catalina Island West
CIZ   435718.0S1763356.0W   45.0Chatham Islands
CJA   324703.0N1301238.0E   88.0Chijiwa
CJB  R     0.0N      0.0E    0.0Carmo Cajuru
CJM   192956.4N1050234.8W  129.0Chamela
CJR  C464248.0N 233553.0E  750.0Cluj
CJR1  464558.0N 233305.0E  345.0Cluj
CJV   343149.8N1180840.2W 1341.0Casa Juvan
CJW  C444406.0N1102924.0W 2426.0Canyon Junction
CK-                             (Alternate Abbreviation for CK-BC)
CK-BCC504931.0N1211940.0W  518.0Cache Creek
CKC  C340810.8N1171028.8W  550.0Cook Canyon
CKE   543515.7N  30621.2W  304.0Keswick
CKHR  360100.0N  53043.8E 1280.0Kef el Ahmar
CKI  C442511.0N  81643.0E  350.0Cairo Montenotte
CKK   595734.8N1541359.4W  732.0Chekok
CKL   611147.4N1522016.2W 1265.0Chakachamna Lake
CKM  C470359.9N1125435.5W 1353.0Coopers Lake
CKN   611326.4N1521053.4W  735.0Chakachatna North
CKO   455940.0N 772700.0W  190.5Chalk River
CKP   340121.6N 724624.0E 1195.0Chanarkot
CKR  C644004.8N1603149.8W  671.0Christmas Creek
CKT   611203.0N1521222.2W 1036.0Bend
CL-                             (Alternate Abbreviation for CL-ID)
CL-IDC442928.0N1142030.0W 2256.0Challis
CL1                             (Alternate Abbreviation for CDVM)
CL2                             (Alternate Abbreviation for CMNM)
CLA  C155137.0S 741436.0W   32.0Chala
CLAN  290611.0N 132834.0W  356.0Lanzarote
CLAP U531918.1N1322439.6W   60.0Shields Creek
CLAR  411119.2N 740013.2W   76.0Clarkstown
CLB   510837.0N  12558.0W   80.0Chilbolton
CLC   354900.0N1173548.0W  766.0China Lake
CLCM                            (Alternate Abbreviation for LKC)
CLD  C270500.0S 705600.0W    0.0Caldera
CLE  C412919.5N 813155.5W  328.0Cleveland
CLEO R413043.2N 813650.4W  192.0Cleveland Museum of Natural History
CLF  C480100.0N  21600.0E    0.0Chambon-la-For\^et
CLG   505542.0N  65606.0E    0.0Cologne (K\"oln)
CLH  C384405.0N 765045.0W    0.0Cheltenham
CLI   463300.0N 271700.0E  502.0Colonesti
CLIC  330827.0N1153138.4W  -59.0Calipatria
CLIN C415230.0N 735056.4W  168.0Clinton
CLK   154048.0S 345836.0E  781.0Chileka
CLKR  373526.5N1184926.8W 2576.0Crowley Lake
CLL   511827.7N 130009.4E  230.0Collm
CLLI  422845.1N  15826.8E 1411.0Llivia
CLLP C180448.0N 663436.0W  195.0Cerrillos
CLM  C493806.0N1143112.0W    0.0Coleman
CLMC   35252.9N 763346.8W 1480.0Lago Calima
CLN   322409.6N1034354.6W 1094.0Carlsbad
CLN2 C322118.6N1034625.8W 1100.0Carlsbad
CLN4  322112.0N1040145.0W  975.0Carlsbad
CLN6  323115.0N1035245.0W 1100.0Carlsbad
