-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
ADES C133930.0N 892130.0W 1200.0Adelaida
ADGF R     0.0N      0.0E    0.0
ADH   383918.0N 271406.0W   83.0Angra do Heroismo
ADH0 C383947.8N 271223.8W  100.0Angra do Heroismo
ADI   330444.0N 351330.0E  470.0Adamit
ADJB  360927.6N  32616.8E 1140.0Djebel Djouab
ADK   515301.4N1764104.0W  116.0Adak
ADL   343322.8N1172501.2W  900.0Adelanto
ADM  C364610.9N1161707.1W 1033.0NRDS
ADN  C435000.0N 760710.8W  137.0Adams
ADR   370949.8N1213733.0W  207.0Anderson Reservoir
ADRA R364721.6N  30255.2W    0.0Adra
ADT  C370349.7N 352118.0E  150.0Adana
ADWM  382621.1N1205053.5W  251.0Drytown Water District
AE-                             (Alternate Abbreviation for AE-NC)
AE-NCC352601.0N 800335.0W  183.0Albemarle
AEB  C512137.6N1791450.7E    0.0Amchitka
AECU C  1613.8S 782425.2W 3000.0Ecuador Network
AEI  F                          (magnitude source code for AEIC)
AEIC F                          Alaska Earthquake Information Center, Fairbanks
AEKI   20606.0N 982713.0E  840.0Aeknabara
AEU  R523712.4N  11404.9E   15.0East Anglia University
AFAR  360800.0N 913152.2W  239.0Ash Flat
AFC  C371516.0N  33242.0W 1490.0Alfacar
AFDM  385652.8N1205820.4W  549.0Forest Hills Divide
AFFS  235536.1N 430001.8E 1090.0`Af\=\i f
AFH  R512038.0N  11311.0W   91.0Ashford Hill
AFHM  390230.5N1204728.7W 1064.0Forest Hill Site
AFI   135434.0S1714638.0W  706.0Afiamalu
AFIF  240603.6N 431048.0E  950.0`Af\=\i f
AFL   463148.0N 121048.0E 2235.0Alpe Faloria
AFO1 C453741.5N 745256.6W   53.0Alfred
AFO2 C453750.9N 745114.4W   53.0Alfred
AFR   173218.0S1494640.0W   50.0Afareaitu
AFRM  384732.3N1212054.6W   31.0Fiddyment Ranch
AFUE R370648.0N  33024.6W 1586.0Fuente del Hervidero
AG-                             (Alternate Abbreviation for AG-ME)
AG-MEC442222.0N 693946.0W  152.0Augusta
AGA  C384704.1N 271023.5W   80.0Agualva
AGAL  232542.6N 324931.8E    0.0Gebel Alisa
AGAM  600915.0N1410200.0W 1024.0Agassiz Lake
AGC   375140.8N1222546.2W  223.0Angel Island
AGD   113144.4N 424926.4E  450.0Arta Grotte
AGE  C 84849.0S1480556.0E  303.0Agenahambo
AGG   390120.0N 221949.0E  540.0Agios Georgios
AGI  C592248.0N1532512.0W  580.0Augustine Island
AGIM C385040.9N1205852.7W  305.0Gold Rush Inn
AGL   393112.0N 665212.0E  865.0Agalyk
AGM  C470454.0N 690124.0W  238.0Allagash
AGMR  233215.6N 323225.8E    0.0Gebel Marawa
AGN   385657.0N 384255.0E  914.0A\u gin
AGO   460308.6N  30751.8E  523.0Saint Agoulin
AGP   182427.0N 670827.6W  220.0Aguadilla
AGR  C270800.0N 780100.0E  163.0Agra
AGRA  271349.8N 775637.8E    0.0Agra
AGRI  184358.8N1453910.8E   25.0Agrihan Island
AGRT  393631.8N 425913.2E 1440.0A\u gri
AGRW  233842.0N 324834.8E    0.0Gebel Rewraw
AGS  F                          USGS Alaska Seismic Project, Menlo Park
AGST  371513.0N 151316.0E   35.0Augusta-Monte Tauro
AGT   235300.0N 911500.0E   17.0Agartala
AGU   592136.0N1532550.4W 1226.0Augustine-Summit
AGUN  124000.1N 865012.1W  300.0Aguas Calientes
AGV    83346.8N 710524.0W 3516.0La Aguada
AGVB  194422.0S 501359.0W  393.0A\'qua Vermelha
AGX  C215243.2N1021803.6W    0.0Aguascalientes
AHA   192224.0N1551554.0W 1070.0Ahua
AHDM C390253.9N1210435.4W  483.0Hacienda Drive
AHID  424555.4N1110601.4W 1960.0Auburn Hatchery
AHML R264708.2S 652007.4W  658.0Horco Molle
AHRM  385115.5N1210413.8W  354.0Harold F. Ross
AHS  C430802.0N1410245.7E  170.0Asarigawa Hot Spring
AHU  C135518.0N 895045.0W  810.0Ahuachap\'an
AI-                             (Alternate Abbreviation for AI-NB)
AI-NBC420758.0N1031635.0W 1311.0Alliance
AIA  C651500.0S 641600.0W   11.0Argentine Island (Faraday)
AIB   435424.2N1423846.0E  260.0Aibetsu
AIC  C340048.0N1192613.8W  113.0Anacapa Island
AID  C373400.0N1400700.0E  526.0Aizu (Inawashiro)
AIGLE 462029.4N  65713.7E  800.0Aigle
AIK   380112.0N1381430.0E   34.0Aikawa
AIL  C144803.6N 610628.8W  879.0Aileron
AIN   192230.0N1552737.2W 1524.0Ainapo
AIO  R375808.0N 151340.1E  715.0Antillo
AIS  R374747.8S 773409.8E   36.0Amsterdam Island
AIT   320636.0N  63039.6W    0.0Ait Ouarda
AITP   30818.2S1422056.2E    2.0Aitape
AIUT C405121.0N1121031.8W 1334.0Southern Antelope Island
AJI   350236.0N1390548.0E   59.0Ajiro
AJM   262845.0N 743835.0E  540.0Ajmer
AK-                             (Alternate Abbreviation for AK-OK)
AK-OKC342206.0N 930326.0W  183.0Atoka
AK0  C514644.4N1765248.0W  152.0North Tanaga
AK1  C513954.0N1773830.0W   61.0West Kanaga
AK2  C513948.0N1775548.0W   99.0South Tanaga
AK3  C514824.0N1774912.0W  350.0North Tanaga
AK4  C514922.8N1772642.0W    8.0Bobrof
AK5  C514814.4N1765331.2W   91.0North Tanaga
AKA   540809.0N1654612.0W   12.0Akutan
AKA2  540727.0N1654642.0W   90.0Akutan 2
AKA4  540636.0N1654354.0W  135.0Akutan 4
AKA5  540918.6N1655154.0W  225.0Akutan 5
AKAR  501912.0N 873712.0E 1380.0Aktash
AKAY R361822.8N  45607.2E 1485.0Kef Ayad
AKC  C400127.8N 311050.9E  150.0Ak\c cakoca
AKET  360249.2N  35255.8E 1428.0Djebel Ketaf
AKF   363800.0N  43400.0E 1545.0Akfadou
AKGH   61436.0N    225.0E  377.0Akosombo
AKH   412436.0N 432848.0E 1720.0Akhalk'alak'i
AKI  C394306.0N1400606.0E   10.0Akita
AKI1  394254.0N1400612.0E    2.0Akita
AKIJ  394500.0N1400830.0E   65.0Akita 2
AKK   430101.4N1445032.2E   80.0Akkeshi
AKKT C404704.0N 370049.0E 1593.0Akku\c s
AKL   204210.2N 770055.2E  310.0Akola
AKM   334844.0N1303550.0E   60.0Akama
AKMC  350137.2N 321948.0E  416.0Akamas
AKRL  233936.0N 324236.0E    0.0Khor El Raml
AKSR  233813.8N 330115.0E    0.0Khor Sakr
AKT   412848.0N 474348.0E 1200.0Akhty
AKTK  502605.0N 580100.0E  360.0Aqt\"obe (Aktyubinsk)
AKU   654112.0N 180624.0W   24.0Akureyri
AKU- C654018.0N 180600.0W    0.0Akureyri
AKUL  382548.0N 683448.0E    0.0Akkuyli
AKUR  235338.4N 324633.6E    0.0Kurkur
AKY  C403946.8N 303933.8E  110.0Akyaz\i
AL-                             (Alternate Abbreviation for AL-OK)
AL-OKC342129.0N 953645.0W  213.0Antlers
AL31  650355.1N1473350.0W  626.0ALPA Array Site 31
AL32  651139.8N1471858.0W    0.0ALPA Array Site 32
AL33  650143.0N1471146.0W    0.0ALPA Array Site 33
AL34                            (Alternate Abbreviation for FBAL)
AL35                            (Alternate Abbreviation for AL5)
AL36  650552.1N1480005.0W    0.0ALPA Array Site 36
AL37  651359.9N1474435.9W    0.0ALPA Array Site 37
AL5   645640.9N1475134.2W    0.0ALPA Array Site 35
ALA  C371430.0N1150654.0W    0.0Alamo
ALAM  383400.0N1205722.2W  293.0Latrobe
ALAR  650355.1N1473350.0W  626.0ALPA Array Beam Reference Point
ALB   491618.0N1244948.0W   25.0Alberni
ALBA  421846.1N  24324.6E  400.0Albanya (Alba\~n\'a)
ALBI  251832.4N 814830.6E  107.0Allahabad
ALC   623721.0N1410030.0W  582.0Alcan
ALCA R     0.0N      0.0E    0.0Las Alcarrizes
ALCT  473851.0N1220213.2W   55.0Alcott Elementary School
ALD   454910.0N1200400.0W  427.0Alter Ridge
ALDR  583636.0N1252434.0E  682.0Aldan
ALE   823012.0N 622100.0W   65.0Alert
ALF  C421331.2N 774749.8W  671.0Alfred
ALFC  350925.2N 323556.4E  520.0Alevga
ALG   364618.0N  30330.0E   59.0Algiers
ALGO  455715.9N 780303.3W  235.0Algonquin Park
ALH   322212.0S 704734.0W 1890.0Alicahue
ALI   382119.2N   2914.1W   35.0Alicante
ALIA R364200.0N 543000.0E    0.0\=Al\=\i \=ab\=ad
ALJ   363147.5N  53857.8W  427.0Aljibe
ALL  C544200.0N1104600.0E    0.0Alla
ALLY  413857.1N 800841.3W  390.0Alegheny College
ALM   365109.1N  22735.2W   65.0Almer\'\i a
ALME   92548.0N 420224.0E 2133.0Alemaya
ALMG  173603.6N1455016.8E  490.0Alamagan
ALMR  390919.8N  83436.6W  165.0Almeirim
ALN   405350.0N 260244.0E  110.0Alexandro\'upolis
ALNG  101053.1N 614117.7W    0.0Atlantic Liquefied Natural Gas
ALNM  385546.9N1211716.1W   54.0Lincoln
ALO  U421200.0N1224200.0W  720.0Ashland
ALOA  101754.0S1502237.0E   10.0Alotau
ALOJ  370632.4N  40618.0W 1340.0Loja
ALOT C101745.6S1502750.4E  200.0Alotau
ALP   424649.0N 133434.0E 1370.0Ascoli Piceno (Monte Piselli)
ALPA F                          Alaska Long Period Array
ALPW  430902.3N1105952.1W 1792.0Alpine
ALQ  C345633.0N1062727.0W 1849.0Albuquerque
ALR  C355621.0N  30206.0W   10.0Isla de Alboran
ALS   233037.4N1204818.4E 2413.4Alishan (Arisan)
ALST R460632.4N1230158.4W    0.0Alston
ALT   390318.6N 300637.2E 1060.0Altintas
ALTA   22825.2S 785921.6W 2700.0Altar Urco
ALTV R 94505.8N 722504.1W   30.3Alturitas
ALU   444055.2N 342410.8E   61.0Alushta
ALUM R251415.2S 645245.8W  812.0Lumberera
ALWS  291837.1N 350354.0E    0.0Ilw as Safayhah
ALX  C441921.0N 755540.5W  122.0Alexander Bay
ALZ  R304145.6N  80827.6W  800.0Aoulouz
AM-                             (Alternate Abbreviation for AM-OK)
AM-OKC340252.0N 972441.0W  274.0Ardmore
AM1  C352640.0N1355507.0E  250.0Amasugawa 1
AM2  C352638.7N1355517.3E  180.0Amasugawa 2
AMA  C511718.4N1790633.5W  503.0Amatignak Island
AMAN  235600.0N 325602.4E    0.0Manam
AMAR R312719.7S 671939.9W  659.0Marayes
AMAX F                          (keyword for telegraphic format)
AMB  C140500.0N1210300.0E   10.0Ambulong
AMC   370930.0N1215049.2W  244.0Almaden
AMD  C694600.0N 614100.0E    0.0Amderma
AMDA  361536.0N  24236.0E 1059.0M\'ed\'ea
AMDR R     0.0N      0.0E    0.0Amderma
AME  C512312.0N1791518.0E    0.0Amchitka East
AMG   320333.8N 841303.6W  106.0Americus
AMI  C423506.5N 122543.0E    0.0Amelia
AMJ   361457.7N1370142.3E  620.0Amo
AML   420752.0N 734138.8E 3400.0Almayashu
AMLC R311831.9S 675529.9W 3241.0Mogote Corralitos
AMM   460539.0N1125704.0W 2051.0Anaconda
AMN   175102.0S1405133.0W    2.0Amanu
AMNH  404651.0N 735825.8W    0.0Manhattan
AMO    34200.0S1281000.0E    0.0Ambon
AMOR  365923.4N 255910.8E  240.0Amorg\'os
AMP   340318.0N 722454.0E  361.0Ambar
AMR  C362351.0N1162828.2W  725.0Amargosa
AMRH R355125.8N  45619.8E 1530.0Mont Rhoder
AMRP  390930.0N  83430.0W  160.0Almeirim
AMS   330828.8N1151515.0W  140.0Amos
AMTX R     0.0N      0.0E    0.0Amarillo
AMU  C611130.0N1494818.0W   53.0Anchorage (Alaska Methodist University)
AMW   411834.0S1754539.0E  400.0Mount Adams
AMZI R313300.0N 345446.8E  151.0Amatzia
AN-                             (Alternate Abbreviation for AN-MA)
AN-MAC464508.0N1060530.0W  907.0Angela
AN1  C402845.0N 840751.0W  323.0Anna
AN1*                            (Alternate Abbreviation for PNC)
AN10 C402822.0N 842812.0W  297.0Anna
AN11 C403350.0N 844049.0W  267.0Anna
AN12 C405517.0N 841056.0W  226.0Anna
AN12*                           (Alternate Abbreviation for SRC)
AN13*                           (Alternate Abbreviation for QSR)
AN14*                           (Alternate Abbreviation for BCGM)
AN15*                           (Alternate Abbreviation for JHC)
AN2* C364727.6N1212716.9W  433.0Forsythe
AN3  C403255.0N 834844.0W  326.0Anna
AN3*                            (Alternate Abbreviation for HJGM)
AN4  C401319.0N 835352.0W  346.0Anna
AN4*                            (Alternate Abbreviation for PCL)
AN5*                            (Alternate Abbreviation for DIL)
AN6*                            (Alternate Abbreviation for CSR)
AN7  C404924.0N 835136.0W  281.0Anna
AN7*                            (Alternate Abbreviation for CDC)
AN8  C401440.0N 841711.0W  302.0Anna
AN8*                            (Alternate Abbreviation for PKC)
AN9  C404240.0N 842949.0W  255.0Anna
AN9* C370050.4N1220210.2W  129.0Anzar Reservoir 9 (Santa Cruz)
ANA  C513739.8N1783923.0E    0.0Amchitka
ANAL  232436.0N 324040.8E    0.0New Alisa
ANAT  162110.8N1453921.6E  510.0Anatahan
ANB  C513622.3N1784730.0E    0.0Amchitka
ANC  C681140.0S 670000.0W    7.0Antarctic (Marguerite Bay)
ANCC   33055.2N 765200.0W  540.0Alto Anchicay\'a
ANCH  234055.2S 702436.0W   60.0Antofagasta
ANCK  581155.8N1552938.4W    0.0Angle Creek
ANCR C381023.5N1184513.3W 2250.0Anchorite
AND  C513344.4N1785712.4E  186.0Amchitka
ANDR  644402.4N1772942.0E   55.0Anadyr'
ANE   410036.0N 701536.0E  951.0Angren
ANER R364544.4N  35043.2W  170.0Nerja
ANG   170918.0N 614948.0W   27.0Antigua (Friars Hill)
ANGC R374700.0S 724230.0W    0.0Angol
ANGL    2334.4S 773239.8W 3360.0
ANGS C134800.0N 891130.0W  850.0El \'Angel
ANGV C 94218.0N 693118.1W  680.0Angostura
ANGW  434954.6N1101124.8W 2743.0Angle Mountain
ANH  C611430.0N1494936.0W   30.0Anchorage
ANI  C570230.0N1580224.0W    0.0Aniakchak
ANI*                            (Alternate Abbreviation for ANH)
ANIA  565420.3N1581345.5W  930.0Aniakchak Crater
ANJJ  321803.6N 354615.6E 1075.0`Anjarah
ANK   395500.0N 324900.0E    0.0Ankara
ANKA  565421.0N1581343.8W  863.0Aniakchak
ANL  C273700.0S 661900.0W    0.0Andalgala
ANM   643355.8N1652218.0W  330.0Nome--Anvil Mountain
ANMB  491907.2N1225130.7W  179.0Anmore
ANMO  345700.7N1062736.7W 1743.0Albuquerque
ANMR  234037.2N 323232.4E    0.0North Mavawa
ANN   444800.0N 372558.8E   35.0Anapa
ANNE R     0.0N      0.0E    0.0Aniakchak Northeast
ANNS  411850.4N 735447.4W   42.0Annsville
ANNW R     0.0N      0.0E    0.0Aniakchak Northwest
ANP   251111.5N1213112.7E  825.8Anpu
ANPB  564808.5N1581650.7W  658.0Aniakchak Plenty Bear
ANPK  565030.4N1580734.1W  972.0Aniakchak Peak
ANR   404518.0N 722136.0E  494.0Andijon (Andizhan)
ANS   433308.0N 132744.0E  295.0Ancona
ANSL R     0.0N      0.0E    0.0Surprise Lake
ANT   234218.0S 702455.0W   80.0Antofagasta
ANTI    2657.1S 780940.3W 4510.0Antisana
ANTN  361018.0N 851352.8W  612.0Anderson
ANTO  395208.0N 324737.0E  883.0Ankara
ANTR  321549.2N1032438.4W 1056.0Antelope Ridge
ANTT  361313.0N 360925.0E   60.0
ANTZ  282829.0N  95117.0W  300.0Aouinet Torkoz
ANU  C410222.8N1121354.0W 1353.0Antelope Island
ANV   643355.8N1652218.0W  330.0Anvil Mountain
ANVS  424658.8N 774001.2E 1860.0Anan'yevo
ANVZ   11319.2N 772110.8W 4170.0
ANZ   365304.8N1213527.2W  122.0Anzar Road
ANZA F                          Anza Seismic Network, California
